source,link,title,publish_date,summary,keywords,desc
https://www.financialexpress.com,https://www.financialexpress.com/market/indian-indices-nse-nifty-50-companies-list/,"Nifty 50 (NSE) Index Price Live - Top Nifty 50 Companies Index Price in India Today, (NSE) India Index Price Live",None,"Oil And Natural Gas Corporation Ltd. Jul 21, 2023, 9:19 AM | IST166.85-0.35-0.211,67,272","['price', 'natural', 'corporation', 'live', '2023', 'oil', 'jul', 'gas', '919', 'index', 'ist16685035021167272', 'india', '50', 'nifty', 'today', 'companies', 'nse', '21']","Oil And Natural Gas Corporation Ltd. Jul 21, 2023, 9:19 AM | IST

166.85

-0.35

-0.21

1,67,272"
https://www.financialexpress.com,https://www.financialexpress.com/market/indian-indices-bse-sensex-companies-list/,"Sensex (BSE) Index Price Live - Top Sensex Companies Index Price in India Today, (BSE) India Index Price Live",None,"Power Grid Corporation of India Ltd. Jul 21, 2023, 9:34 AM | IST245.351.200.4958,334","['price', 'corporation', 'live', 'sensex', 'bse', 'jul', 'grid', 'index', 'india', 'today', 'power', '21', 'companies', '2023', '934', 'ist2453512004958334']","Power Grid Corporation of India Ltd. Jul 21, 2023, 9:34 AM | IST

245.35

1.20

0.49

58,334"
https://www.financialexpress.com,https://www.financialexpress.com/business/defence-strengthening-bilateral-defence-cooperation-argentinas-journey-with-hal-3180051/,Strengthening Bilateral Defence Cooperation: Argentina’s Journey with HAL,None,"The LoI was signed by the visiting Argentinian Defence Minister Jorge Taiana, and C B Ananthakrishnan, CMD of HAL on Thursday in Bangalore.
The delegation was there to examine potential cooperation in the areas of not only the Light Combat Aircraft but also Light Utility Helicopter (LUH), Advanced Light Helicopter (ALH) Dhruv, and Light Combat Helicopter `Prachand’.
The joint efforts aim to bolster Argentina’s defence capabilities and elevate the nation’s military prowess on the global stage.
(Image source: HAL)This strategic cooperation between HAL and Argentina’s Ministry of Defence holds immense promise.
CMD HAL and HAL’s senior officers provided comprehensive briefings to the dignitaries, showcasing the diverse array of activities undertaken by HAL.","['loi', 'hal', 'argentinas', 'helicopter', 'journey', 'defence', 'partnership', 'taiana', 'cooperation', 'strengthening', 'bilateral', 'light', 'hals', 'collaboration']","India and Argentina have signed a Letter of Intent (LoI) signifying their commitment to productive cooperation and the acquisition of Light and Medium Utility Helicopters for the armed forces of Argentina.

The collaboration between Hindustan Aeronautics Limited (HAL) and The Republic of Argentina’s Ministry of Defence marks a significant milestone in the two nations’ pursuit of enhanced military capabilities. The LoI was signed by the visiting Argentinian Defence Minister Jorge Taiana, and C B Ananthakrishnan, CMD of HAL on Thursday in Bangalore.

Are there any specific numbers of helicopters mentioned?

No, top HAL officials told Financial Express Online and added that there is no financial obligation.

Validity of the LoI?

There is no set timeline, the executive stated.

In June Financial Express Online has reported that a HAL delegation was in Buenos Aires and had made a presentation related to the helicopter in the presence of of the Argentine Air Force Chief Brigadier General Xavier Isaac and Indian Ambassador to Argentina Dinesh Bhatia.

The delegation was there to examine potential cooperation in the areas of not only the Light Combat Aircraft but also Light Utility Helicopter (LUH), Advanced Light Helicopter (ALH) Dhruv, and Light Combat Helicopter `Prachand’.

Also Read Will Argentina buy Indian fighters or heptrs?

High-ranking officials, including Francisco Cafiero, Secretary of International Affairs, Ambassador Hugo Javier Gobbi, Ambassador Dinesh Bhatia, and other senior officers from both the Argentinian side and HAL were present during the signing of the LoI.

In his remarks, Jorge Taiana, expressed his enthusiasm for the burgeoning collaboration and described it as a significant step towards an ever-growing and robust partnership with HAL. The joint efforts aim to bolster Argentina’s defence capabilities and elevate the nation’s military prowess on the global stage.

The LoI was signed by the visiting Argentinian Defence Minister Jorge Taiana, and C B Ananthakrishnan, CMD of HAL on Thursday in Bangalore. (Image source: HAL)

During the visit, CMD HAL and HAL’s senior officers provided comprehensive briefings to the dignitaries, showcasing the diverse array of activities undertaken by HAL. A captivating presentation highlighted the organization’s cutting-edge technologies, innovations, and contributions to the aerospace industry.

The day’s itinerary featured a flying display of various HAL platforms which the visiting delegation found captivating. The tour continued with visits to the LCA and Helicopter Divisions, where they explored HAL’s impressive range of products. The delegation’s keen interest in HAL’s offerings exemplified the potential for mutual learning and knowledge exchange, fostering a fruitful partnership between the two nations.

Jorge Taiana, expressed his enthusiasm for the burgeoning collaboration and described it as a significant step towards an ever-growing and robust partnership with HAL. (Image source: HAL)

This strategic cooperation between HAL and Argentina’s Ministry of Defence holds immense promise. The transfer of expertise, technology, and resources between the parties will undoubtedly fortify Argentina’s armed forces and contribute to regional and global security. Furthermore, it is a testament to HAL’s growing reputation as a world-class aerospace and defence organization, garnering interest and appreciation on an international scale.

CMD HAL and HAL’s senior officers provided comprehensive briefings to the dignitaries, showcasing the diverse array of activities undertaken by HAL. (Image source: HAL)

As the world continues to evolve, so too does the landscape of defence and security. This partnership signifies a proactive approach towards addressing emerging challenges and underscores the shared commitment to peace and stability.

In conclusion, the signing of the LoI between HAL and Argentina’s Ministry of Defence serves as a defining moment in the two nations’ relations, opening new horizons for collaboration and growth. The journey ahead promises to be one of mutual learning, progress, and shared achievements, elevating both India and Argentina’s positions as stalwarts in the global defence arena. Together, they march towards a safer and more secure world."
https://www.financialexpress.com,https://www.financialexpress.com/business/railways-redevelopment-work-of-ayodhya-railway-station-is-going-on-in-full-swing-check-the-list-of-completed-works-3180027/,Redevelopment work of Ayodhya railway station is going on in full swing – Check the list of completed works,None,"The Ministry of Railways has shared an update related to the redevelopment work of Ayodhya railway station in Uttar Pradesh state of India.
Currently, it has three platforms and five railway tracks.
Under the Amrit Bharat Station Scheme, Indian Railways has undertaken the task of redevelopment of 1,275 railway stations across the country.
Out of these, 149 railway stations (including Ayodhya railway station) will be transformed in the most populous state of the country, Uttar Pradesh.
Since 2019, the railway station has been under expansion.","['electrification', 'completed', 'templecompleted', 'ram', 'station', 'uttar', 'tracks', 'work', 'railway', 'check', 'going', 'ayodhya', 'works', 'swing', 'railways', 'water', 'redevelopment', 'list']","The Ministry of Railways has shared an update related to the redevelopment work of Ayodhya railway station in Uttar Pradesh state of India. The architecture of this junction is inspired by Shri Ram JanmBhoomi Temple.

Completed works of Ayodhya railway station:

Station Building

Parking areas

External Water supply, External Electrification, Electrical Installations

Station Building Signage

Redevelopment of Ayodhya Railway Station🚉



Architecture inspired by Shri Ram JanmBhoomi Temple🛕

Completed Works:

✅Station Building

✅Parking areas

✅External Water supply, External Electrification, Electrical Installations

✅Station Building Signage#NayeBharatKaNayaStation pic.twitter.com/1HOKnMHzn5 — Ministry of Railways (@RailMinIndia) July 20, 2023

The station serves two railway lines (Varanasi–Jaunpur–Ayodhya–Lucknow line and Gorakhpur–Mankapur–Ayodhya line). Currently, it has three platforms and five railway tracks. The station code is AY.

Under the Amrit Bharat Station Scheme, Indian Railways has undertaken the task of redevelopment of 1,275 railway stations across the country. Out of these, 149 railway stations (including Ayodhya railway station) will be transformed in the most populous state of the country, Uttar Pradesh.

The executive agency for the project is M/S RITES Ltd (Rail India Technical and Economic Service Limited).

Since 2019, the railway station has been under expansion. It added double railway lines alongside the electrification of the tracks. The new design will add new amenities (such as more washrooms, lounges, dormitories, and ticket office). Its capacity will be increased to handle the greater passenger numbers expected due to the construction of the Ram Mandir in Ayodhya.

The new construction is in two phases:

a) The first phase includes the erection of the new station building

b) The second phase will develop the platforms."
https://www.financialexpress.com,https://www.financialexpress.com/business/railways-indian-railways-moving-on-from-monsoon-mayhem-special-train-introduced-on-shimla-solan-route-rail-track-cleared-3180568/,"Indian railways moving on from Monsoon mayhem! Special train introduced on Shimla-Solan route, rail track cleared",None,"The railway route from Shimla to Kalka continues to remain closed, but the Indian Railways has started a special train on the same route from Thursday.
Track on the Shimla-Solan route restoredAlthough the said rail route has been closed, there is still some good news for railway commuters.
The Shimla-Solan route, lying on the Shimla-Kalka track, has been restored after the route was declared fit by the railway authorities.
Special Train TimingsThe Solan-bound special train 04511, with four bogies including two general compartments, departed from Shimla at 8.15 am and reached the destination at 11.25 am, railway officials told PTI.
A railway spokesperson told The Indian Express that special arrangements have been made for the train examination at Kandaghat and Shimla instead of Kalka.","['special', 'train', 'monsoon', 'mayhem', 'spokesperson', 'route', 'railway', 'railways', 'track', 'rail', 'trains', 'moving', 'shimla', 'told', 'trees', 'shimlasolan']","The railway route from Shimla to Kalka continues to remain closed, but the Indian Railways has started a special train on the same route from Thursday. What’s so special you ask? Well, all the trains on the Shimla-Kalka heritage railway track have been suspended till August 6 as heavy rainfall had obstructed the track at multiple locations due to landslides and felling of trees over the past few weeks, reported PTI.

Track on the Shimla-Solan route restored

Although the said rail route has been closed, there is still some good news for railway commuters. The Shimla-Solan route, lying on the Shimla-Kalka track, has been restored after the route was declared fit by the railway authorities.

Special Train Timings

The Solan-bound special train 04511, with four bogies including two general compartments, departed from Shimla at 8.15 am and reached the destination at 11.25 am, railway officials told PTI.

The train will run every day with stoppages at eight places. These eight stop points are Summer Hill, Jutogh, Tara Devi, Shoghi, Kathlighat, Kanoh, Kandaghat and Salogra.

With the efforts of the engineering department, the track was declared fit for the train operation between Shimla and Solan.

A railway spokesperson told The Indian Express that special arrangements have been made for the train examination at Kandaghat and Shimla instead of Kalka.

The spokesperson said that the engineering department is keeping a watch over the felling of trees to ensure the safe running of trains. This will lead to smooth transportation of essential goods from the near markets to various railway stations."
https://www.financialexpress.com,https://www.financialexpress.com/business/railways-nhsrcl-awards-last-civil-package-for-mumbai-ahmedabad-high-speed-rail-alignment-in-maharashtra-details-inside-3180205/,NHSRCL awards last Civil Package for Mumbai-Ahmedabad High Speed Rail alignment in Maharashtra – Details Inside,None,"The National High Speed Rail Corporation Limited (NHSRCL) has awarded the last Civil Package (C3) for Mumbai-Ahmedabad High Speed Rail (MAHSR) alignment in Maharashtra.
Civil Packages of MAHSR alignment in Maharashtra:The NHSRCL has successfully awarded a total of three civil packages of the state.
With this, the NHSRCL marks the award of all the 11 Civil Packages over the High Speed Rail corridor.
The 508 km long MAHSR corridor comprises 465 km long viaducts, 12 HSR stations, 3 rolling stock depots, 28 steel bridges, 24 river bridges and 9 tunnels.
This also includes a 7 km long undersea tunnel which is going to be the first tunnel beneath the sea.","['high', 'inside', 'bridges', 'km', 'gujarat', 'nhsrcl', 'long', 'details', 'steel', 'package', 'civil', 'packages', 'maharashtra', 'rail', 'mumbaiahmedabad', 'speed', 'mahsr']","The National High Speed Rail Corporation Limited (NHSRCL) has awarded the last Civil Package (C3) for Mumbai-Ahmedabad High Speed Rail (MAHSR) alignment in Maharashtra. The 135-km long alignment consists of seven tunnels and a bridge over Vaitarna river. This is the longest bridge in the MAHSR corridor in the state.

Civil Packages of MAHSR alignment in Maharashtra:

The NHSRCL has successfully awarded a total of three civil packages of the state. These include – (a) Construction of Mumbai (BKC) HSR station (C1), (b) 21 km of tunnel including 7-km long Undersea tunnel (C2) and (c) 135 km long alignment (C3).

With this, the NHSRCL marks the award of all the 11 Civil Packages over the High Speed Rail corridor. The 508 km long MAHSR corridor comprises 465 km long viaducts, 12 HSR stations, 3 rolling stock depots, 28 steel bridges, 24 river bridges and 9 tunnels. This also includes a 7 km long undersea tunnel which is going to be the first tunnel beneath the sea.

Contract Packages of Maharashtra-Ahmedabad High Speed Rail Corridor:

The entire MAHSR corridor has been divided into 28 contract packages. Out of these, 11 are Civil Packages. The Civil Packages have been awarded in a period of 33 months.

Lists of MAHSR Civil Packages awarded in Gujarat and Maharashtra:

Fabrication of 11 steel truss bridges [P4(X)]/ Fabrication of 17 steel truss bridges [P4(Y)] – January 25, 2021

Construction of Bridges for Double Line HSR for 1 PSC Bridge and 4 Steel Truss Bridges in Gujarat (P1c) – August 26, 2021

Construction of Bridges for Double Line High Speed Railway for 2 PSC Bridges and 7 Steel Truss Bridges in Gujarat (P1b) – August 23, 2021

Civil and Preparatory work for Sabarmati Rolling Stock Depot in Gujarat (C8) – February 04, 2022

Design & Construction of Civil & building works for 18 km viaduct and 2 station (Ahmedabad & Sabarmati) in Gujarat (C7) – November 02, 2021

Design and Construction of Civil and Building Works for 88 km viaduct and 1 station (Anand) in Gujarat (C6) – November 18, 2020"
https://www.financialexpress.com,https://www.financialexpress.com/business/roadways-road-development-in-full-swing-over-200-national-highway-projects-worth-rs-79789-cr-under-implementation-says-nitin-gadkari-3180602/,"Road development in full swing! Over 200 National Highway projects worth Rs 79,789 cr under implementation, says Nitin Gadkari",None,"Out of the 202 National Highway projects, 42 NH projects, spanning 474 kilometres and valued at Rs 10,992 crore, are in the bidding stage.
Moreover, 11 National Highway projects, covering 245 kilometres and costing around Rs 3,816 crore, are about to reach the stage of declaration of the appointed date in Maharashtra.
‘Govt closely monitoring construction of National Highways’The Union Minister also added that the authorities are closely monitoring the construction of National Highways in the country.
Gadkari also highlighted that periodic reviews are held at various levels to resolve issues and expedite the progress of all National Highway projects.
The Ministry also added that a time limit of 2-3 years is generally kept for the completion of new NH projects.","['road', 'construction', 'national', 'nitin', 'rs', 'implementation', 'projects', 'gadkari', 'nh', 'kilometres', 'highways', 'delays', 'worth', 'highway', 'swing']","The Ministry of Road Transport & Highways (MoRTH) on Thursday (July 20) informed that it is currently handling 202 National Highway projects covering a total length of 6,270 kilometres with an estimated cost of Rs 79,789 crore.

The Minister of Road Transport and Highways of India, Nitin Gadkari said that these projects have construction periods ranging from 18-30 months from the appointed date.

Out of the 202 National Highway projects, 42 NH projects, spanning 474 kilometres and valued at Rs 10,992 crore, are in the bidding stage. Moreover, 11 National Highway projects, covering 245 kilometres and costing around Rs 3,816 crore, are about to reach the stage of declaration of the appointed date in Maharashtra.

Gadkari made these statements in a written reply to the Lok Sabha.

‘Govt closely monitoring construction of National Highways’

The Union Minister also added that the authorities are closely monitoring the construction of National Highways in the country. Gadkari also highlighted that periodic reviews are held at various levels to resolve issues and expedite the progress of all National Highway projects.

The Ministry also added that a time limit of 2-3 years is generally kept for the completion of new NH projects. However, sometimes the construction works on National Highways are delayed due to multiple reasons like delays in the fulfilment of government’s condition precedent like various clearances, utility shifting, delays in land acquisition, delays on the part of contractors/ concessionaire, including cash flow issues and others.

“Four NH projects passing through Dhenkanal district in Odisha are delayed, mainly due to delay in land acquisition, forest clearance and slow performance of the contractor. As per the revised schedule, the target of completion of these projects is March 2024,” Gadkari said.

The amount of cost escalation in these projects for the delay in completion work has not been finalised, Gadkari said."
https://www.financialexpress.com,https://www.financialexpress.com/business/brandwagon-in-an-age-of-rampant-religious-and-national-sentiments-are-online-content-platforms-truly-safe-3180541/,In an age of rampant religious and national sentiments are online content platforms truly safe,None,"In February, the Information and Broadcasting Minister Anurag Thakur said that MIB has redressed 265 grievances against over-the-top (OTT) content under IT rules, 2021.
“Over the last decade, India’s content regulation space has progressed rapidly and the IT Rules, 2021, marked a significant milestone in the Platform Regulation ecosystem.
Add to that, multiple complaints against multiple producers and OCC platforms for hurting religious and national sentiments.
Looking backContent on over-the-top (OTT) platforms has always gained traction, from day one.
Also Read ICC and BCCI launches campaign It Takes One DayThe online curated content (OCC) platforms, a subset of OTT platforms, have been requested to categorise content based on five age categories – – U (Universal), U/A 7+, U/A 13+, U/A 16+ and A (Adult).","['platforms', 'national', 'rules', 'sentiments', 'safe', 'ua', 'online', 'ott', 'age', 'vod', 'complaints', '2021', 'content', 'truly', 'share', 'report', 'religious', 'rampant']","In February, the Information and Broadcasting Minister Anurag Thakur said that MIB has redressed 265 grievances against over-the-top (OTT) content under IT rules, 2021. Yet the list doesn’t end here. While many consumers may be aware of the redressal mechanism, there are many more who usually end up filing a police complaint or take to vandalism. The real issue sometimes, these complaints are not valid yet often an angry mob leads to destruction. “While the three-tier system has been given the green light, there remains a dearth of awareness among the consumers. Most of the complaints have been resolved by tier-1 but it is important to create some mechanism to find whether these complaints are valid or not,” Nitin Gupta, chief content officer, Chaupal OTT, a multi-regional OTT platform, said.

Interestingly, the majority of industry experts have highlighted the need to re-evaluate the definitions of objectionable content such as half-truths, indecency, causing annoyance, among others Part III of the IT Rules, 2021, to preserve online free speech and promote creative freedom, as per recently released joint study by The Dialogue and IAMAI titled ‘IT Rules: A Regulatory Impact Assessment Study. Moreover, it also stressed the need for greater emphasis on ensuring the optimum use of grievance redressal mechanisms by the users. Furthermore, the report suggested that nine out of 10 content creators, directors and producers highlighted that petty complaints requesting a ban and injunction on creative works under different forums and criminal sanctions impact their ease of doing business. “Over the last decade, India’s content regulation space has progressed rapidly and the IT Rules, 2021, marked a significant milestone in the Platform Regulation ecosystem. The ongoing deliberations for the new IT Act provide an important opportunity to address new aspects through greater research and multi-stakeholder dialogues which will ensure that our policies continue to remain rights-enabling as well as innovation-friendly,” Kazim Rizvi, founding director, The Dialogue, said.

What is wrong?

Premium video-on-demand (VOD) is growing engagement in India, according to a recent report by Media Partners Asia. Total consumption across the online video sector reached 6.1 trillion minutes for the 15-month period from January 2022 to March 2023. Within this, the premium VOD category had a 12% share when compared to 10% in 2021 with YouTube and remaining dominant with an 88% share. MPA in its report stated that the 12% number compares well with other emerging markets that is Indonesia, Thailand and the Philippines where the norm for premium VOD share is below 10% but trails more developed markets such as Australia at 35%. Interestingly, India is not too far behind markets such as Japan and Korea where the norm is 15-20%.

To be sure Disney+ Hotstar led premium VOD category consumption over CY 2022 versus Q1, 2023 with a category viewership with 38% share over the measured 2022-Q1 2023 period. This was driven by sports as well as the depth of its Hindi and regional entertainment.

As per industry stakeholders as and when guidelines will be revisited there is a need to create well-defined targeted principle-based regulation. What this means is that as broad definitions of prohibited content open avenues for subjective interpretations

and enforcement which can stifle civil rights and creative freedom, hence there is a need to create a structure. Secondly, it is important that the government, platforms and civil society work collaboratively to raise awareness and empower the users. Add to that, multiple complaints against multiple producers and OCC platforms for hurting religious and national sentiments. As per the report, the frequent instances of criminal complaints against directors and producers and demand for injunctions are an unreasonable restriction of their creative freedom and economic rights. Experts argue that a ban or injunction would directly result in the violation of Article 19. “A lot of time and effort goes into making the content. Platforms take precautions keeping in mind the sensitivities of the audience,” Gupta, added.

Looking back

Content on over-the-top (OTT) platforms has always gained traction, from day one. And the pandemic just fueled this growth. With the increasing diversity in content, regulations too caught up. The Information Technology (Intermediary Guidelines and Digital Media Ethics Code) Rules, 2021 introduced a three-tier grievance redressal mechanism, including a government body at its third tier, attempting to regulate a previously unregulated sector. “There were regulations for TV and theatres but as the internet evolved and as these apps proliferated, they invoked regulations. There were extensions of different laws from different acts like the Information Technology Act and even from the Indian Penal Code applicable to the platforms for violation of any associated law,” Rakesh Maheshwari, former senior director and group coordinator, cyber laws and data governance, Ministry of Electronics and Information Technology (MeitY).

Also Read ICC and BCCI launches campaign It Takes One Day

The online curated content (OCC) platforms, a subset of OTT platforms, have been requested to categorise content based on five age categories – – U (Universal), U/A 7+, U/A 13+, U/A 16+ and A (Adult). As per the code of conduct, platforms are required to implement parental locks for content classified as U/A 13+ or higher and a reliable age verification mechanism for content classified as A. “We segregate the content according to the code of conduct. The content is marketed while keeping in mind the age segregation. The platforms have lower complaints owing to the three-tier grievance redressal mechanisms compared to social media,” Soumya Vilekar, co-founder and CFO, Planet Marathi, a Marathi OTT platform, said.

Follow us on Twitter, Instagram, LinkedIn, Facebook"
https://www.financialexpress.com,https://www.financialexpress.com/market/nifty-to-cross-20000-or-bears-to-take-over-see-gift-nifty-fii-data-fampo-ban-crude-more-before-market-opens/3180525/,"Nifty to cross 20000 or bears to take over? See GIFT Nifty, FII data, F&O ban, crude, more before market opens",None,"The GIFT Nifty recorded a 0.05% gain during Friday’s early trading session, with a value of 19,869 indicating a flat opening for domestic indices NSE Nifty 50 and BSE Sensex.
Benchmark indices NSE Nifty 50 and BSE Sensex made new all-time highs again and ended Thursday’s trading session broadly in green.
During the F&O ban period, no new positions are permitted for F&O contracts in that stock.
Bank Nifty Outlook“Bank Nifty is currently experiencing a strong bullish trend, with the bulls dominating the market.
Technical View“The near term uptrend remains intact and the Nifty is at the edge of reaching the historical 20K mark.","['flat', 'indices', 'opens', 'fo', 'bears', 'sensex', 'gift', 'nse', 'market', 'trading', 'index', 'nifty', 'fii', 'finance', 'data', 'cross', 'crude']","The GIFT Nifty recorded a 0.05% gain during Friday’s early trading session, with a value of 19,869 indicating a flat opening for domestic indices NSE Nifty 50 and BSE Sensex. Benchmark indices NSE Nifty 50 and BSE Sensex made new all-time highs again and ended Thursday’s trading session broadly in green. The Nifty 50 rose 146 points to close at 19,979.15, a whisker away from 20,000. Sensex jumped around 500 points to 67,571.90, a new all-time closing high.

“Unlocking of value by heavy weights (like RIL & ITC) is apprising the main indices. The anticipation of a good Q1 results from Banks, is providing an extra boost to drive to new highs. Mixed cues from global peers is not disturbing the mood of the domestic market as FIIs inflows stay put to the prospects of the Indian economy” said Vinod Nair, Head of Research at Geojit Financial Services.

Key things to know before share market opens on 21 July, 2023

Wall Street

The S&P 500 and Nasdaq fell on Thursday, weighed down by drops in Tesla and Netflix following their quarterly results, but the Dow advanced for a ninth straight day thanks to gains in Johnson & Johnson following a strong annual forecast, according to Reuters. S&P 500 declined 0.68%, the Nasdaq Composite tanked 2.05%, while the Dow Jones Industrial Average rose 0.31%.

Asian Markets

Shares in the Asia-Pacific region were trading in the red on Thursday. China’s Shanghai Composite and Shenzhen Component were flat, with Shanghai down by 0.03% and Shenzhen higher by 0.08%. Japan’s Nikkei 225 lost 0.8%. South Korea’s Kospi was flat, in the green by 0.08% while Hong Kong’s Hang Seng surged 0.83%. The Taiwan Weighted index recorded a gain of 0.46%.

Crude Oil

Brent oil prices were little changed on Friday and were set to close flat for the week after three straight weeks of gains, as markets weigh lower U.S. crude inventories and tapering interest rate hikes against weak Chinese economic data that could cap demand.

FII/DII Data

Foreign institutional investors (FII) net purchased shares worth Rs 3,370.90 crore, while domestic institutional investors (DII) net sold shares worth Rs 193.02 crore on 20 July, according to the provisional data available on the NSE.

F&O Ban

The National Stock Exchange has Manappuram Finance, Indiabulls Housing Finance, Delta Corp, RBL Bank, L&T Housing Finance, Balrampur Chini Mills, L&T Housing Finance, and Punjab National Bank securities on its F&O ban list for 21 July. According to the NSE, stocks are prohibited in the F&O sector when they have exceeded 95% of the market-wide position limit (MWPL). During the F&O ban period, no new positions are permitted for F&O contracts in that stock.

Bank Nifty Outlook

“Bank Nifty is currently experiencing a strong bullish trend, with the bulls dominating the market. The index successfully surpassed the key resistance level of 46000, indicating a continuation of the upward momentum.The index is characterised by a series of “higher high and higher low formations,” which is a bullish pattern that confirms the strength of the uptrend,” said Kunal Shah, Senior Technical & Derivative analyst at LKP Securities.

Technical View

“The near term uptrend remains intact and the Nifty is at the edge of reaching the historical 20K mark. The present upside momentum is likely to continue for the short term and the next crucial upside resistance to be watched around 20,450, which is 100% Fibonacci projection-taken from important bottom-top-bottom as per weekly chart. Immediate support is at 19,850 levels” said Nagaraj Shetti, Technical Research Analyst, HDFC Securities."
https://www.financialexpress.com,https://www.financialexpress.com/market/state-bank-of-india-share-price/,"BSE Stock Price, Performance, Financials, Returns, Share Holdings",None,"State Bank of India is a Public Limited Listed company incorporated on 31/12/1955 and registered in the State of Maharashtra, India.
Company presently involved in the business activities of Banking Business.","['price', 'returns', 'stock', 'bse', 'registered', 'presently', 'listed', 'performance', 'state', 'company', 'public', 'maharashtra', 'india', 'limited', 'share', 'holdings', 'financials', 'business']","State Bank of India is a Public Limited Listed company incorporated on 31/12/1955 and registered in the State of Maharashtra, India. Company presently involved in the business activities of Banking Business."
